challenge_title,challenge_goal,category,generated_tasks
"Marathon de Lecture","Lire 5 livres en un mois","Education","[{""title"": ""Choix des livres"", ""points"": 5}, {""title"": ""Lire 50 pages par jour"", ""points"": 10}, {""title"": ""Rédiger un résumé"", ""points"": 15}]"
"Sprint Fitness","Faire du sport 30 min par jour","Sport","[{""title"": ""Échauffement"", ""points"": 5}, {""title"": ""Séance intensive"", ""points"": 20}, {""title"": ""Étirements"", ""points"": 5}]"
"Détox Digitale","Pas d'écran après 20h","Santé","[{""title"": ""Mettre le téléphone en mode avion"", ""points"": 10}, {""title"": ""Lire un livre papier"", ""points"": 10}, {""title"": ""Méditation"", ""points"": 10}]"
"Zéro Déchet","Réduire les plastiques","Environnement","[{""title"": ""Acheter en vrac"", ""points"": 10}, {""title"": ""Utiliser un sac réutilisable"", ""points"": 5}, {""title"": ""Composter"", ""points"": 15}]"
"Code Master","Apprendre une nouvelle techno","Technologie","[{""title"": ""Suivre un tutoriel"", ""points"": 10}, {""title"": ""Coder un mini projet"", ""points"": 20}, {""title"": ""Publier sur GitHub"", ""points"": 10}]"
"Healthy Eating","Manger 5 fruits et légumes","Santé","[{""title"": ""Préparer un smoothie"", ""points"": 5}, {""title"": ""Cuisiner des légumes"", ""points"": 15}, {""title"": ""Éviter le sucre"", ""points"": 10}]"
"Yoga Daily","15 min de yoga matin","Sport","[{""title"": ""Salutation au soleil"", ""points"": 10}, {""title"": ""Postures d'équilibre"", ""points"": 10}, {""title"": ""Relaxation finale"", ""points"": 10}]"
"Apprendre l'Anglais","Maitriser 500 nouveaux mots","Education","[{""title"": ""Utiliser Duolingo"", ""points"": 5}, {""title"": ""Regarder une vidéo VO"", ""points"": 10}, {""title"": ""Pratiquer à l'oral"", ""points"": 15}]"
"Productivité Max","Utiliser la méthode Pomodoro","Travail","[{""title"": ""Planifier les tâches"", ""points"": 5}, {""title"": ""Travailler par blocs de 25 min"", ""points"": 20}, {""title"": ""Faire un bilan"", ""points"": 5}]"
"Économies","Économiser 100€ ce mois","Finances","[{""title"": ""Suivre ses dépenses"", ""points"": 10}, {""title"": ""Cuisiner chez soi"", ""points"": 15}, {""title"": ""Annuler les abonnements inutiles"", ""points"": 15}]"
"Méditation","10 min de méditation guidée","Santé","[{""title"": ""Trouver un endroit calme"", ""points"": 5}, {""title"": ""Se concentrer sur sa respiration"", ""points"": 15}, {""title"": ""Noter ses sentiments"", ""points"": 10}]"
"Apprendre Guitare","Jouer un morceau complet","Loisirs","[{""title"": ""Accords de base"", ""points"": 10}, {""title"": ""Pratique rythmique"", ""points"": 10}, {""title"": ""Jouer la mélodie"", ""points"": 15}]"
"Écriture","Écrire un article de blog","Loisirs","[{""title"": ""Recherche de sujet"", ""points"": 10}, {""title"": ""Rédaction du brouillon"", ""points"": 15}, {""title"": ""Correction et publication"", ""points"": 15}]"
"Nettoyage Printemps","Ranger toute la maison","Maison","[{""title"": ""Trier les vêtements"", ""points"": 15}, {""title"": ""Nettoyer les vitres"", ""points"": 10}, {""title"": ""Organiser les placards"", ""points"": 15}]"
"Bénévolat","Aider une association locale","Social","[{""title"": ""Trouver une mission"", ""points"": 10}, {""title"": ""Participer à une action"", ""points"": 20}, {""title"": ""Partager l'expérience"", ""points"": 10}]"
"Hydratation","Boire 2L d'eau par jour","Santé","[{""title"": ""Remplir sa gourde le matin"", ""points"": 5}, {""title"": ""Boire un verre d'eau par heure"", ""points"": 15}, {""title"": ""Ne pas boire de sodas"", ""points"": 10}]"
"Photographie","Prendre une photo de rue par jour","Loisirs","[{""title"": ""Sortir avec son appareil"", ""points"": 10}, {""title"": ""Tester de nouveaux angles"", ""points"": 10}, {""title"": ""Retouches légères"", ""points"": 10}]"
"Cuisine","Tester une nouvelle recette exotique","Loisirs","[{""title"": ""Choisir la recette"", ""points"": 5}, {""title"": ""Acheter les ingrédients"", ""points"": 10}, {""title"": ""Cuisiner et déguster"", ""points"": 20}]"
"Sommeil","Dormir au moins 8h","Santé","[{""title"": ""Se coucher à heure fixe"", ""points"": 10}, {""title"": ""Pas de café après 14h"", ""points"": 5}, {""title"": ""Routine relaxante"", ""points"": 15}]"
"Networking","Rencontrer 2 nouvelles personnes","Social","[{""title"": ""Assister à un meetup"", ""points"": 15}, {""title"": ""Initier une discussion"", ""points"": 15}]"
"Jardinage","Planter des herbes aromatiques","Loisirs","[{""title"": ""Préparer les pots"", ""points"": 10}, {""title"": ""Semer les graines"", ""points"": 10}, {""title"": ""Arroser"", ""points"": 10}]"
"Podcast","Écouter un podcast par jour","Education","[{""title"": ""Choisir un podcast éducatif"", ""points"": 5}, {""title"": ""Écoute active"", ""points"": 15}, {""title"": ""Prendre des notes"", ""points"": 10}]"
"Bricolage","Réparer un objet cassé","Maison","[{""title"": ""Diagnostiquer le problème"", ""points"": 10}, {""title"": ""Acheter les outils"", ""points"": 10}, {""title"": ""Réparation"", ""points"": 20}]"
"Muséum","Visiter une exposition","Cultures","[{""title"": ""Réserver son billet"", ""points"": 5}, {""title"": ""Visite approfondie"", ""points"": 20}]"
"Échecs","Gagner 3 parties en ligne","Loisirs","[{""title"": ""Étudier une ouverture"", ""points"": 10}, {""title"": ""Jouer les parties"", ""points"": 15}, {""title"": ""Analyser ses erreurs"", ""points"": 10}]"
"Marche","Faire 10 000 pas par jour","Sport","[{""title"": ""Sortir marcher"", ""points"": 20}, {""title"": ""Prendre les escaliers"", ""points"": 10}]"
"Sérénité","Prendre un bain relaxant","Santé","[{""title"": ""Préparer le bain"", ""points"": 10}, {""title"": ""Moment de détente"", ""points"": 20}]"
"Artisanat","Fabriquer une bougie","Loisirs","[{""title"": ""Acheter la cire"", ""points"": 10}, {""title"": ""Mise en moule"", ""points"": 15}]"
"Rédaction","Tenir un journal intime","Santé","[{""title"": ""Écrire sa journée"", ""points"": 15}, {""title"": ""Réflexion personnelle"", ""points"": 15}]"
"Musique","Apprendre les bases du solfège","Education","[{""title"": ""Lire les notes"", ""points"": 15}, {""title"": ""Exercices de rythme"", ""points"": 15}]"
"Dons","Donner 5 vêtements inutilisés","Social","[{""title"": ""Faire le tri"", ""points"": 15}, {""title"": ""Apporter au centre de don"", ""points"": 15}]"
"Vélo","Aller au travail à vélo","Sport","[{""title"": ""Vérifier le vélo"", ""points"": 5}, {""title"": ""Trajet aller-retour"", ""points"": 25}]"
"Développement Personnel","Définir ses objectifs de vie","Santé","[{""title"": ""Brainstorming"", ""points"": 15}, {""title"": ""Plan d'action"", ""points"": 15}]"
"Cinéma","Regarder un classique du cinéma","Loisirs","[{""title"": ""Choisir un film culte"", ""points"": 5}, {""title"": ""Analyse du film"", ""points"": 15}]"
"Langue","Apprendre l'alphabet grec","Education","[{""title"": ""Mémoriser les lettres"", ""points"": 15}, {""title"": ""S'exercer à l'écriture"", ""points"": 15}]"
"Web Design","Créer un portfolio simple","Technologie","[{""title"": ""Maquette wireframe"", ""points"": 10}, {""title"": ""Développement HTML/CSS"", ""points"": 20}]"
"Événement","Organiser un dîner entre amis","Social","[{""title"": ""Inviter les amis"", ""points"": 5}, {""title"": ""Préparer le repas"", ""points"": 25}]"
"Nature","Faire une randonnée en forêt","Sport","[{""title"": ""Préparer l'itinéraire"", ""points"": 10}, {""title"": ""Randonnée"", ""points"": 20}]"
"Médias","Ne plus regarder les infos pendant 3 jours","Santé","[{""title"": ""Désactiver les notifs info"", ""points"": 15}, {""title"": ""Trouver d'autres loisirs"", ""points"": 15}]"
"Astronomie","Observer les constellations","Loisirs","[{""title"": ""Télécharger une app d'astrales"", ""points"": 10}, {""title"": ""Sortie nocturne"", ""points"": 20}]"
"Entretien","Laver entièrement sa voiture","Maison","[{""title"": ""Extérieur"", ""points"": 15}, {""title"": ""Intérieur"", ""points"": 15}]"
"DIY","Fabriquer un porte-clé","Loisirs","[{""title"": ""Découpe matériel"", ""points"": 15}, {""title"": ""Assemblage"", ""points"": 15}]"
"Finances","Comparer les assurances","Finances","[{""title"": ""Recherche devis"", ""points"": 15}, {""title"": ""Négociation"", ""points"": 15}]"
"Cuisine","Faire son propre pain","Loisirs","[{""title"": ""Pétrissage"", ""points"": 15}, {""title"": ""Cuisson"", ""points"": 15}]"
"Lecture","Lire un recueil de poésie","Loisirs","[{""title"": ""Lecture"", ""points"": 30}]"
"Gym","Faire 50 pompes par jour","Sport","[{""title"": ""Série 1"", ""points"": 15}, {""title"": ""Série 2"", ""points"": 15}]"
"Yoga","Pratiquer la respiration ventrale","Santé","[{""title"": ""Exercice de respiration"", ""points"": 30}]"
"Oiseaux","Installer un nichoir","Environnement","[{""title"": ""Achat nichoir"", ""points"": 15}, {""title"": ""Installation"", ""points"": 15}]"
"Échecs","Apprendre le mat du berger","Loisirs","[{""title"": ""Théorie"", ""points"": 15}, {""title"": ""Pratique"", ""points"": 15}]"
"Sudoku","Résoudre un Sudoku difficile","Loisirs","[{""title"": ""Résolution"", ""points"": 30}]"
